City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,amungan,15.3652,119.9582,83.1,67,46,5.08,PH,1712702336
1,punta arenas,-53.15,-70.9167,44.71,61,40,19.57,CL,1712702265
2,jiuquan,39.7432,98.5174,51.42,18,0,5.14,CN,1712702337
3,kayyerkan,69.3786,87.7439,-15.29,100,100,3.83,RU,1712702337
4,yayladagi,35.9025,36.0627,50.95,83,95,2.08,TR,1712702337
5,adamstown,-25.066,-130.1015,74.71,80,51,5.12,PN,1712702337
6,lata,40.1629,-8.3327,49.91,93,15,1.1,PT,1712702277
7,bardai,11.65,7.2333,81.75,35,85,10.87,NG,1712702303
8,waitangi,-43.9535,-176.5597,64.81,87,43,7.0,NZ,1712702337
9,port mathurin,-19.6833,63.4167,79.95,74,0,7.27,MU,1712702337
10,enewetak,11.3474,162.3373,80.85,81,100,20.87,MH,1712702337
11,stanley,54.868,-1.6985,41.79,80,0,17.27,GB,1712702338
12,edinburgh of the seven seas,-37.0676,-12.3116,65.16,91,88,14.07,SH,1712702338
13,albany,42.6001,-73.9662,73.81,64,44,4.18,US,1712702337
14,mount pearl,47.5166,-52.7813,31.86,92,100,19.57,CA,1712702108
15,port-aux-francais,-49.35,70.2167,47.28,95,100,37.85,TF,1712702338
16,port blair,11.6667,92.75,80.96,78,100,5.79,IN,1712702061
17,vadso,70.0744,29.7487,32.16,80,100,13.8,NO,1712702241
18,san,13.3034,-4.8956,94.86,27,79,8.46,ML,1712702153
19,la'ie,21.6477,-157.9253,82.36,68,25,17.74,US,1712702217
20,yuzhno-kurilsk,44.0306,145.8556,34.38,98,56,15.61,RU,1712702239
21,yeniseysk,58.4497,92.1703,36.95,95,100,8.01,RU,1712702339
22,puerto natales,-51.7236,-72.4875,38.44,93,34,5.73,CL,1712702212
23,bilibino,68.0546,166.4372,17.71,88,100,4.45,RU,1712702339
24,belmonte,-15.8631,-38.8828,77.31,89,56,4.41,BR,1712702339
25,happy valley-goose bay,53.3168,-60.3315,28.71,46,75,16.11,CA,1712702301
26,grytviken,-54.2811,-36.5092,36.1,84,100,12.66,GS,1712702340
27,lompoc,34.6391,-120.4579,78.94,61,0,14.97,US,1712702340
28,ushuaia,-54.8,-68.3,40.66,65,75,24.16,AR,1712702327
29,kodiak,57.79,-152.4072,27.91,54,75,13.8,US,1712702340
30,polyarnyy,69.1989,33.4478,25.03,96,100,3.62,RU,1712702340
31,tiksi,71.6872,128.8694,1.13,96,100,4.56,RU,1712702341
32,cururupu,-1.8283,-44.8683,75.79,95,97,1.63,BR,1712702341
33,sao joao da barra,-21.6403,-41.0511,78.89,84,100,12.21,BR,1712702341
34,isafjordur,66.0755,-23.124,27.77,90,100,5.95,IS,1712702341
35,farafangana,-22.8167,47.8333,75.07,91,8,10.27,MG,1712702341
36,hermanus,-34.4187,19.2345,58.8,83,84,4.21,ZA,1712702341
37,constitucion,-35.3333,-72.4167,59.86,50,99,9.98,CL,1712702342
38,nova sintra,14.8667,-24.7167,74.23,75,0,10.36,CV,1712702136
39,la passe,45.5549,-0.8967,50.99,78,7,11.43,FR,1712702311
40,papatowai,-46.5619,169.4708,60.4,79,100,0.74,NZ,1712702342
41,bethel,41.3712,-73.414,75.29,28,0,0.0,US,1712702042
42,mirnyy,62.5353,113.9611,17.24,93,97,7.0,RU,1712702342
43,wanning,18.8003,110.3967,77.43,93,100,3.94,CN,1712702217
44,chontalpa,17.7,-93.5167,103.55,23,29,18.05,MX,1712702343
45,margaret river,-33.95,115.0667,53.62,85,21,11.39,AU,1712702343
46,flying fish cove,-10.4217,105.6791,76.68,88,40,3.44,CX,1712702052
47,college,64.8569,-147.8028,37.72,48,75,3.44,US,1712702343
